Field [mT]	Moment [Am^2]	Fitted Moment [Am^2]
-4.05	-1.1366e+01	-2.4927e+00
-4.18	-1.1424e+01	-2.5687e+00
-4.30	-1.1479e+01	-2.6417e+00
-4.42	-1.1543e+01	-2.7174e+00
-4.54	-1.1595e+01	-2.7897e+00
-4.67	-1.1663e+01	-2.8651e+00
-4.79	-1.1707e+01	-2.9376e+00
-4.91	-1.1763e+01	-3.0140e+00
-5.03	-1.1828e+01	-3.0877e+00
-5.15	-1.1889e+01	-3.1653e+00
-5.27	-1.1936e+01	-3.2402e+00
-5.40	-1.1989e+01	-3.3187e+00
-5.51	-1.2046e+01	-3.3947e+00
-5.64	-1.2096e+01	-3.4746e+00
-5.76	-1.2156e+01	-3.5521e+00
-5.88	-1.2209e+01	-3.6337e+00
-6.00	-1.2255e+01	-3.7120e+00
-6.12	-1.2310e+01	-3.7944e+00
-6.24	-1.2359e+01	-3.8731e+00
-6.36	-1.2400e+01	-3.9559e+00
-6.47	-1.2451e+01	-4.0349e+00
-6.59	-1.2505e+01	-4.1179e+00
-6.71	-1.2555e+01	-4.1971e+00
-6.83	-1.2610e+01	-4.2795e+00
-6.95	-1.2659e+01	-4.3582e+00
-7.07	-1.2715e+01	-4.4399e+00
-7.18	-1.2762e+01	-4.5178e+00
-7.30	-1.2805e+01	-4.5989e+00
-7.42	-1.2859e+01	-4.6762e+00
-7.53	-1.2919e+01	-4.7575e+00
-7.65	-1.2962e+01	-4.8348e+00
-7.77	-1.3004e+01	-4.9158e+00
-7.88	-1.3039e+01	-4.9932e+00
-8.00	-1.3087e+01	-5.0746e+00
-8.11	-1.3149e+01	-5.1521e+00
-8.23	-1.3199e+01	-5.2344e+00
-8.34	-1.3230e+01	-5.3128e+00
-8.46	-1.3268e+01	-5.3959e+00
-8.57	-1.3321e+01	-5.4749e+00
-8.68	-1.3376e+01	-5.5584e+00
-8.79	-1.3421e+01	-5.6387e+00
-8.91	-1.3457e+01	-5.7227e+00
-9.02	-1.3494e+01	-5.8033e+00
